Model Name,Model Parameters,Epochs,Category,Category Name,Category Video,Model Time,Seed,F1 (0.5),Loss
median,0,60,0,baseline,pedestrians,0.014061809,4,0.916549936,0.127089265
median,0,60,1,baseline,PETS2006,0.017992518,4,0.679599682,0.347749747
median,0,60,2,baseline,highway,0.017064142,4,0.926484926,0.123514754
median,0,60,3,baseline,office,0.015334725,4,0.705273912,0.343584077
median,0,60,5,lowFramerate,tramCrossroad_1fps,0.012690902,4,0.529256815,1.281863173
median,0,60,6,lowFramerate,tunnelExit_0_35fps,0.014492893,4,0.507361909,0.790567011
median,0,60,7,lowFramerate,turnpike_0_5fps,0.016977575,4,0.861390628,0.905782969
median,0,60,8,thermal,corridor,0.017012596,4,0.800234635,0.303799747
median,0,60,9,thermal,diningRoom,0.017038369,4,0.836980354,0.237473509
median,0,60,10,thermal,lakeSide,0.016978586,4,0.564237548,0.323164469
median,0,60,11,thermal,library,0.017090917,4,0.765361209,0.390321596
median,0,60,12,thermal,park,0.018877506,4,0.729653975,0.211582065
median,0,60,13,badWeather,blizzard,0.015215969,4,0.877105783,0.495198785
median,0,60,14,badWeather,skating,0.015324521,4,0.774262567,0.731015369
median,0,60,15,badWeather,snowFall,0.015098262,4,0,0.669316385
median,0,60,16,badWeather,wetSnow,0.016899443,4,0.848375389,0.72387424
median,0,60,18,dynamicBackground,canoe,0.016990709,4,0.601638874,0.366332728
median,0,60,19,dynamicBackground,fall,0.015093374,4,0.875382102,0.184934777
median,0,60,21,dynamicBackground,fountain02,0.015492837,4,0,0.209055984
median,0,60,22,dynamicBackground,overpass,0.01704855,4,0.767710161,0.434968232
median,0,60,23,shadow,backdoor,0.016992605,4,0.852670047,0.281692401
median,0,60,24,shadow,bungalows,0.015213924,4,0.892761122,0.212501414
median,0,60,25,shadow,busStation,0.015433073,4,0.695196984,0.39795962
median,0,60,26,shadow,copyMachine,0.015141046,4,0.633141438,0.360325809
median,0,60,27,shadow,cubicle,0.0154006,4,0.81609878,0.356263331
median,0,60,28,shadow,peopleInShade,0.015056352,4,0.476360906,0.744830019
median,0,60,29,nightVideos,bridgeEntry,0.015387456,4,0.496561353,0.653055646
median,0,60,30,nightVideos,busyBoulvard,0.013250756,4,0.671797109,0.792928919
median,0,60,31,nightVideos,fluidHighway,0.014661113,4,0.376819391,1.308420422
median,0,60,32,nightVideos,streetCornerAtNight,0.009188139,4,0.511399125,0.187882038
median,0,60,33,nightVideos,tramStation,0.014285624,4,0.792587155,0.695850673
median,0,60,34,nightVideos,winterStreet,0.015544306,4,0.579923283,1.290677248
median,0,60,35,turbulence,turbulence0,0.015244722,4,0.821156176,0.139079699
median,0,60,36,turbulence,turbulence1,0.015214443,4,0.708070076,1.101456283
median,0,60,37,turbulence,turbulence2,0.011098433,4,0,0.231093565
median,0,60,38,turbulence,turbulence3,0.015211414,4,0.75260655,0.629569764
median,0,60,47,cameraJitter,badminton,0.015268946,4,0.657238459,0.417747384
median,0,60,48,cameraJitter,boulevard,0.015302408,4,0.559173534,0.442289307
median,0,60,49,cameraJitter,sidewalk,0.015401411,4,0.67064024,0.314334491
median,0,60,50,cameraJitter,traffic,0.016921014,4,0.875354813,0.181045339
svd,0,60,0,baseline,pedestrians,0.023010349,4,0.832436538,0.221536474
svd,0,60,1,baseline,PETS2006,0.026198235,4,0.767758916,0.21713278
svd,0,60,2,baseline,highway,0.024400902,4,0.89139564,0.145522014
svd,0,60,3,baseline,office,0.022836208,4,0.785409163,0.232935879
svd,0,60,5,lowFramerate,tramCrossroad_1fps,0.020280242,4,0.640845394,1.141920447
svd,0,60,6,lowFramerate,tunnelExit_0_35fps,0.022310913,4,0.512122352,0.793810061
svd,0,60,7,lowFramerate,turnpike_0_5fps,0.024499946,4,0.892771002,0.921719929
svd,0,60,8,thermal,corridor,0.024593127,4,0.950146928,0.105918416
svd,0,60,9,thermal,diningRoom,0.024515915,4,0.852472928,0.17628506
svd,0,60,10,thermal,lakeSide,0.024472868,4,0.678223201,0.286144011
svd,0,60,11,thermal,library,0.025023794,4,0.973729789,0.165068504
svd,0,60,12,thermal,park,0.028040552,4,0.827691328,0.18456839
svd,0,60,13,badWeather,blizzard,0.022789407,4,0.675722581,0.242305477
svd,0,60,14,badWeather,skating,0.023261559,4,0.779393136,0.598650967
svd,0,60,15,badWeather,snowFall,0.023224676,4,0.574911558,0.56522052
svd,0,60,16,badWeather,wetSnow,0.024789155,4,0.165602115,2.191107071
svd,0,60,18,dynamicBackground,canoe,0.025999308,4,0.760896779,0.28656787
svd,0,60,19,dynamicBackground,fall,0.02294004,4,0.740793866,0.354874735
svd,0,60,21,dynamicBackground,fountain02,0.02318265,4,0,0.163254234
svd,0,60,22,dynamicBackground,overpass,0.024388754,4,0.814952434,0.402353255
svd,0,60,23,shadow,backdoor,0.024381208,4,0.754812154,0.340783345
svd,0,60,24,shadow,bungalows,0.022500936,4,0.708430741,0.356231029
svd,0,60,25,shadow,busStation,0.022646844,4,0.717524487,0.318180067
svd,0,60,26,shadow,copyMachine,0.024275529,4,0.91868487,0.223345047
svd,0,60,27,shadow,cubicle,0.022958088,4,0.867997546,0.10516548
svd,0,60,28,shadow,peopleInShade,0.023551007,4,0.50311607,0.423162596
svd,0,60,29,nightVideos,bridgeEntry,0.023884204,4,0,0.663869947
svd,0,60,30,nightVideos,busyBoulvard,0.020933831,4,0.533508836,0.805923976
svd,0,60,31,nightVideos,fluidHighway,0.022765815,4,0.595472791,0.750311057
svd,0,60,32,nightVideos,streetCornerAtNight,0.01708324,4,0.483156554,0.216718396
svd,0,60,33,nightVideos,tramStation,0.021754766,4,0.785787347,0.702415833
svd,0,60,34,nightVideos,winterStreet,0.02283222,4,0.567634103,0.879457737
svd,0,60,35,turbulence,turbulence0,0.023161566,4,0.862405456,0.249355571
svd,0,60,36,turbulence,turbulence1,0.02303865,4,0.665193778,0.941761528
svd,0,60,37,turbulence,turbulence2,0.019134641,4,0.637475301,0.11079399
svd,0,60,38,turbulence,turbulence3,0.022946091,4,0.674072613,0.765949417
svd,0,60,47,cameraJitter,badminton,0.02280488,4,0.633797453,0.287252581
svd,0,60,48,cameraJitter,boulevard,0.02323674,4,0.708852657,0.351256833
svd,0,60,49,cameraJitter,sidewalk,0.022845411,4,0.666455743,0.29435086
svd,0,60,50,cameraJitter,traffic,0.024743944,4,0.82967824,0.204248156
dft,0,60,0,baseline,pedestrians,0.015420961,4,0.90630635,0.115878323
dft,0,60,1,baseline,PETS2006,0.017716148,4,0.691263883,0.226245074
dft,0,60,2,baseline,highway,0.017121617,4,0.931406059,0.241226618
dft,0,60,3,baseline,office,0.015388303,4,0.620609592,0.381405845
dft,0,60,5,lowFramerate,tramCrossroad_1fps,0.012397528,4,0.351098043,1.180746029
dft,0,60,6,lowFramerate,tunnelExit_0_35fps,0.014429963,4,0.480490521,0.784730893
dft,0,60,7,lowFramerate,turnpike_0_5fps,0.017210907,4,0.862774019,0.890511172
dft,0,60,8,thermal,corridor,0.017195261,4,0.795573357,0.259749595
dft,0,60,9,thermal,diningRoom,0.017137647,4,0.836904977,0.2350004
dft,0,60,10,thermal,lakeSide,0.017048132,4,0.550894992,0.330731245
dft,0,60,11,thermal,library,0.016941488,4,0.759182534,0.395778804
dft,0,60,12,thermal,park,0.018776894,4,0.649156435,0.317101625
dft,0,60,13,badWeather,blizzard,0.01539228,4,0.854050096,0.497515167
dft,0,60,14,badWeather,skating,0.015357244,4,0.786803039,0.817363137
dft,0,60,15,badWeather,snowFall,0.01514405,4,0,0.605185646
dft,0,60,16,badWeather,wetSnow,0.01710906,4,0.82957486,0.720248087
dft,0,60,18,dynamicBackground,canoe,0.017197466,4,0.486220499,0.378762066
dft,0,60,19,dynamicBackground,fall,0.015396142,4,0.862147461,0.2081838
dft,0,60,21,dynamicBackground,fountain02,0.015384277,4,0.892401951,0.029457908
dft,0,60,22,dynamicBackground,overpass,0.017248511,4,0.687697072,0.518104569
dft,0,60,23,shadow,backdoor,0.017229736,4,0.919730773,0.278484725
dft,0,60,24,shadow,bungalows,0.015635645,4,0.884696751,0.39728635
dft,0,60,25,shadow,busStation,0.015311221,4,0.696000539,0.396211954
dft,0,60,26,shadow,copyMachine,0.015395701,4,0.615380024,0.373703904
dft,0,60,27,shadow,cubicle,0.015639448,4,0.775820962,0.36892196
dft,0,60,28,shadow,peopleInShade,0.014771442,4,0.652945722,0.41679889
dft,0,60,29,nightVideos,bridgeEntry,0.015636643,4,0,0.657667508
dft,0,60,30,nightVideos,busyBoulvard,0.013321185,4,0.488710659,0.797725406
dft,0,60,31,nightVideos,fluidHighway,0.014749249,4,0.250031784,1.136192376
dft,0,60,32,nightVideos,streetCornerAtNight,0.00949223,4,0.450604076,0.542120422
dft,0,60,33,nightVideos,tramStation,0.014458907,4,0.648136929,0.868802625
dft,0,60,34,nightVideos,winterStreet,0.015344771,4,0.494380977,1.050523108
dft,0,60,35,turbulence,turbulence0,0.015495992,4,0.875158065,0.111358251
dft,0,60,36,turbulence,turbulence1,0.015621948,4,0.637446687,0.688565025
dft,0,60,37,turbulence,turbulence2,0.011128962,4,0,0.204491218
dft,0,60,38,turbulence,turbulence3,0.01552917,4,0.804993641,0.623443656
dft,0,60,47,cameraJitter,badminton,0.015789986,4,0.67236576,0.263708732
dft,0,60,48,cameraJitter,boulevard,0.01546663,4,0.667503036,0.453187425
dft,0,60,49,cameraJitter,sidewalk,0.015589428,4,0.650980873,0.379034042
dft,0,60,50,cameraJitter,traffic,0.017389953,4,0.878400477,0.300241793
Madu2,0,60,0,baseline,pedestrians,0.023957491,4,0.9109165,0.114482645
Madu2,0,60,1,baseline,PETS2006,0.026712526,4,0.790703389,0.243216385
Madu2,0,60,2,baseline,highway,0.026040634,4,0.944359118,0.235692473
Madu2,0,60,3,baseline,office,0.025000864,4,0.775341955,0.271659348
Madu2,0,60,5,lowFramerate,tramCrossroad_1fps,0.02297008,4,0.387955635,1.177197571
Madu2,0,60,6,lowFramerate,tunnelExit_0_35fps,0.023421562,4,0.511291972,0.789732003
Madu2,0,60,7,lowFramerate,turnpike_0_5fps,0.025656382,4,0.867221947,0.915770375
Madu2,0,60,8,thermal,corridor,0.025534594,4,0.934938741,0.217012696
Madu2,0,60,9,thermal,diningRoom,0.025793684,4,0.869665112,0.206384953
Madu2,0,60,10,thermal,lakeSide,0.02579447,4,0.65051146,0.287167605
Madu2,0,60,11,thermal,library,0.025734913,4,0.966843608,0.17243705
Madu2,0,60,12,thermal,park,0.027397728,4,0.726864237,0.219298637
Madu2,0,60,13,badWeather,blizzard,0.023599267,4,0.846686433,0.129539793
Madu2,0,60,14,badWeather,skating,0.024475265,4,0.929716047,0.550256377
Madu2,0,60,15,badWeather,snowFall,0.023631763,4,0,0.604878527
Madu2,0,60,16,badWeather,wetSnow,0.025552309,4,0.500349002,2.664397379
Madu2,0,60,18,dynamicBackground,canoe,0.025774097,4,0.699305154,0.289872324
Madu2,0,60,19,dynamicBackground,fall,0.023139119,4,0.798991641,0.289515163
Madu2,0,60,21,dynamicBackground,fountain02,0.024777412,4,0.885877956,0.032098681
Madu2,0,60,22,dynamicBackground,overpass,0.025527334,4,0.765439791,0.404371634
Madu2,0,60,23,shadow,backdoor,0.026153481,4,0.894973425,0.23768793
Madu2,0,60,24,shadow,bungalows,0.023693323,4,0.891577585,0.394632569
Madu2,0,60,25,shadow,busStation,0.02374361,4,0.7057988,0.395586237
Madu2,0,60,26,shadow,copyMachine,0.02433033,4,0.930637916,0.150972396
Madu2,0,60,27,shadow,cubicle,0.023681009,4,0.900387056,0.332894624
Madu2,0,60,28,shadow,peopleInShade,0.024369856,4,0.651323291,0.417547006
Madu2,0,60,29,nightVideos,bridgeEntry,0.024343199,4,0,0.667796608
Madu2,0,60,30,nightVideos,busyBoulvard,0.022117686,4,0.591038432,0.793440656
Madu2,0,60,31,nightVideos,fluidHighway,0.023618917,4,0.24689635,1.196966092
Madu2,0,60,32,nightVideos,streetCornerAtNight,0.017344153,4,0.513341755,0.236201468
Madu2,0,60,33,nightVideos,tramStation,0.023408175,4,0.794100924,0.721205175
Madu2,0,60,34,nightVideos,winterStreet,0.02421999,4,0.398313327,1.41004758
Madu2,0,60,35,turbulence,turbulence0,0.023924899,4,0.887302688,0.130526541
Madu2,0,60,36,turbulence,turbulence1,0.024872947,4,0.733409736,1.075619637
Madu2,0,60,37,turbulence,turbulence2,0.019214582,4,0.681739752,0.100618821
Madu2,0,60,38,turbulence,turbulence3,0.023909386,4,0.817542966,0.625626443
Madu2,0,60,47,cameraJitter,badminton,0.025917721,4,0.771057909,0.389572281
Madu2,0,60,48,cameraJitter,boulevard,0.024183655,4,0.652573038,0.311318728
Madu2,0,60,49,cameraJitter,sidewalk,0.024008226,4,0.747964954,0.267958978
Madu2,0,60,50,cameraJitter,traffic,0.026002795,4,0.844073843,0.518299185
Ensemble2,0,60,0,baseline,pedestrians,0.046602416,4,0.898058787,0.11643596
Ensemble2,0,60,1,baseline,PETS2006,0.054667798,4,0.832982107,0.364376349
Ensemble2,0,60,2,baseline,highway,0.051399469,4,0.946852197,0.128072736
Ensemble2,0,60,3,baseline,office,0.046901835,4,0.7887811,0.547357028
Ensemble2,0,60,5,lowFramerate,tramCrossroad_1fps,0.039323529,4,0.513985293,1.781753128
Ensemble2,0,60,6,lowFramerate,tunnelExit_0_35fps,0.043509591,4,0,13.37293749
Ensemble2,0,60,7,lowFramerate,turnpike_0_5fps,0.051241292,4,0.890419331,10.64519578
Ensemble2,0,60,8,thermal,corridor,0.051270425,4,0.944269741,0.256257687
Ensemble2,0,60,9,thermal,diningRoom,0.051951647,4,0.863425749,0.347291065
Ensemble2,0,60,10,thermal,lakeSide,0.05158602,4,0.678785408,0.258169915
Ensemble2,0,60,11,thermal,library,0.051748705,4,0.979289975,0.154161685
Ensemble2,0,60,12,thermal,park,0.056470013,4,0.762738569,0.201453608
Ensemble2,0,60,13,badWeather,blizzard,0.046085823,4,0,0.961920218
Ensemble2,0,60,14,badWeather,skating,0.046914768,4,0,0.733034343
Ensemble2,0,60,15,badWeather,snowFall,0.046487153,4,0.017613267,50.02073765
Ensemble2,0,60,16,badWeather,wetSnow,0.051368296,4,0,10.96188521
Ensemble2,0,60,18,dynamicBackground,canoe,0.050818586,4,0,3.211604249
Ensemble2,0,60,19,dynamicBackground,fall,0.046754324,4,0.857892284,0.314474188
Ensemble2,0,60,21,dynamicBackground,fountain02,0.046797991,4,0.856334726,0.050417864
Ensemble2,0,60,22,dynamicBackground,overpass,0.052148902,4,0,1.229601813
Ensemble2,0,60,23,shadow,backdoor,0.051454735,4,0.863093697,0.313024645
Ensemble2,0,60,24,shadow,bungalows,0.046627479,4,0.915575224,0.392374574
Ensemble2,0,60,25,shadow,busStation,0.046598693,4,0.763103266,0.35145115
Ensemble2,0,60,26,shadow,copyMachine,0.046916592,4,0.954096461,0.076182327
Ensemble2,0,60,27,shadow,cubicle,0.047015822,4,0.875993482,0.264898081
Ensemble2,0,60,28,shadow,peopleInShade,0.046134313,4,0.744221894,0.852322026
Ensemble2,0,60,29,nightVideos,bridgeEntry,0.047252138,4,0,6.200229506
Ensemble2,0,60,30,nightVideos,busyBoulvard,0.040272593,4,0.015419373,12.83374157
Ensemble2,0,60,31,nightVideos,fluidHighway,0.045921584,4,0.556869283,5.171158843
Ensemble2,0,60,32,nightVideos,streetCornerAtNight,0.029893613,4,0.573430112,0.225225494
Ensemble2,0,60,33,nightVideos,tramStation,0.044194508,4,0.806454243,1.054743473
Ensemble2,0,60,34,nightVideos,winterStreet,0.047371236,4,0.430410004,10.58689015
Ensemble2,0,60,35,turbulence,turbulence0,0.046376705,4,0.829434479,0.263203513
Ensemble2,0,60,36,turbulence,turbulence1,0.046802688,4,0.765146427,1.007530014
Ensemble2,0,60,37,turbulence,turbulence2,0.035139358,4,0.708732349,0.094291768
Ensemble2,0,60,38,turbulence,turbulence3,0.046964884,4,0,6.711819049
Ensemble2,0,60,47,cameraJitter,badminton,0.04646678,4,0.573898674,0.453848809
Ensemble2,0,60,48,cameraJitter,boulevard,0.047507572,4,0.79180822,0.841841141
Ensemble2,0,60,49,cameraJitter,sidewalk,0.04726882,4,0.553588022,0.805174255
Ensemble2,0,60,50,cameraJitter,traffic,0.05236119,4,0.836588051,0.227823276
median,0,60,0,baseline,pedestrians,0.015273094,5,0.900065104,0.132947132
median,0,60,1,baseline,PETS2006,0.017949581,5,0.731480018,0.208489938
median,0,60,2,baseline,highway,0.016892942,5,0.939958621,0.138039831
median,0,60,3,baseline,office,0.015107221,5,0.707751094,0.351052647
median,0,60,5,lowFramerate,tramCrossroad_1fps,0.012508432,5,0.807076517,0.899749527
median,0,60,6,lowFramerate,tunnelExit_0_35fps,0.014283216,5,0.424078918,0.87260602
median,0,60,7,lowFramerate,turnpike_0_5fps,0.017123196,5,0.929767732,0.498999425
median,0,60,8,thermal,corridor,0.016899061,5,0.816451877,0.302610357
median,0,60,9,thermal,diningRoom,0.017047024,5,0.841694005,0.224698426
median,0,60,10,thermal,lakeSide,0.016837049,5,0.550977094,0.312378877
median,0,60,11,thermal,library,0.016954076,5,0.776019586,0.415358748
median,0,60,12,thermal,park,0.018590689,5,0.846790891,0.137767066
median,0,60,13,badWeather,blizzard,0.014856291,5,0.787639904,0.515563837
median,0,60,14,badWeather,skating,0.015199387,5,0.820788498,0.420123926
median,0,60,15,badWeather,snowFall,0.015055704,5,0,0.787376716
median,0,60,16,badWeather,wetSnow,0.016846907,5,0.754322278,0.633862485
median,0,60,18,dynamicBackground,canoe,0.016772842,5,0.661162264,0.339457977
median,0,60,19,dynamicBackground,fall,0.015213203,5,0.576191596,0.529277673
median,0,60,21,dynamicBackground,fountain02,0.015135686,5,0,0.315765878
median,0,60,22,dynamicBackground,overpass,0.016856337,5,0,1.212700389
median,0,60,23,shadow,backdoor,0.016848612,5,0.86029944,0.134630047
median,0,60,24,shadow,bungalows,0.015113676,5,0.844785202,0.266541802
median,0,60,25,shadow,busStation,0.015203595,5,0.712835309,0.371591943
median,0,60,26,shadow,copyMachine,0.015071988,5,0.674160109,0.335281765
median,0,60,27,shadow,cubicle,0.015232062,5,0.698667925,0.225268735
median,0,60,28,shadow,peopleInShade,0.014914374,5,0.423105377,0.54120882
median,0,60,29,nightVideos,bridgeEntry,0.015285863,5,0.552335013,1.343739841
median,0,60,30,nightVideos,busyBoulvard,0.013158023,5,0.419252193,0.745673348
median,0,60,31,nightVideos,fluidHighway,0.014742335,5,0.551669073,0.781545242
median,0,60,32,nightVideos,streetCornerAtNight,0.009367943,5,0.698100437,0.20453625
median,0,60,33,nightVideos,tramStation,0.014216852,5,0.797272554,0.586927934
median,0,60,34,nightVideos,winterStreet,0.01546073,5,0.570569655,1.146859372
median,0,60,35,turbulence,turbulence0,0.015313363,5,0.863522405,0.120631652
median,0,60,36,turbulence,turbulence1,0.015115762,5,0.668316331,0.572234741
median,0,60,37,turbulence,turbulence2,0.011231518,5,0,0.252718401
median,0,60,38,turbulence,turbulence3,0.015116018,5,0.587008499,0.789070412
median,0,60,47,cameraJitter,badminton,0.01524148,5,0.705002447,0.259674841
median,0,60,48,cameraJitter,boulevard,0.01527245,5,0.563442745,0.61095165
median,0,60,49,cameraJitter,sidewalk,0.015588045,5,0.576074166,0.401829314
median,0,60,50,cameraJitter,traffic,0.016611576,5,0.837870965,0.205424199
svd,0,60,0,baseline,pedestrians,0.023330641,5,0.8237276,0.149339015
svd,0,60,1,baseline,PETS2006,0.025560682,5,0.824391864,0.158374939
svd,0,60,2,baseline,highway,0.024469376,5,0.91365062,0.137559016
svd,0,60,3,baseline,office,0.022906105,5,0.771154039,0.245353863
svd,0,60,5,lowFramerate,tramCrossroad_1fps,0.021333218,5,0.087897688,5.780292441
svd,0,60,6,lowFramerate,tunnelExit_0_35fps,0.022538686,5,0.383511682,0.855122991
svd,0,60,7,lowFramerate,turnpike_0_5fps,0.023948272,5,0.91660462,0.478887548
svd,0,60,8,thermal,corridor,0.024650586,5,0.95038745,0.104896702
svd,0,60,9,thermal,diningRoom,0.024932361,5,0.859330898,0.205447767
svd,0,60,10,thermal,lakeSide,0.024485195,5,0.727289784,0.249658795
svd,0,60,11,thermal,library,0.024169362,5,0.97313683,0.179639847
svd,0,60,12,thermal,park,0.026296806,5,0.814377326,0.174433388
svd,0,60,13,badWeather,blizzard,0.023002112,5,0.827558375,0.160472327
svd,0,60,14,badWeather,skating,0.024744701,5,0.68884509,0.475799052
svd,0,60,15,badWeather,snowFall,0.023312211,5,0.091860088,0.319289893
svd,0,60,16,badWeather,wetSnow,0.025731611,5,0.743312861,0.949212731
svd,0,60,18,dynamicBackground,canoe,0.026276159,5,0.689389832,0.319135749
svd,0,60,19,dynamicBackground,fall,0.023000884,5,0.656221869,0.526643919
svd,0,60,21,dynamicBackground,fountain02,0.023372571,5,0,0.405603595
svd,0,60,22,dynamicBackground,overpass,0.025014472,5,0.51931121,0.511107651
svd,0,60,23,shadow,backdoor,0.024728489,5,0.407818663,0.272655276
svd,0,60,24,shadow,bungalows,0.022772929,5,0.72798071,0.37590814
svd,0,60,25,shadow,busStation,0.022737304,5,0.774988508,0.286771352
svd,0,60,26,shadow,copyMachine,0.023026025,5,0.922712633,0.100873541
svd,0,60,27,shadow,cubicle,0.022714996,5,0.883883623,0.11923498
svd,0,60,28,shadow,peopleInShade,0.025190651,5,0.536801111,0.627743113
svd,0,60,29,nightVideos,bridgeEntry,0.023894442,5,0,1.190705905
svd,0,60,30,nightVideos,busyBoulvard,0.021193612,5,0.504573324,0.644409817
svd,0,60,31,nightVideos,fluidHighway,0.022581061,5,0.55439729,0.777425786
svd,0,60,32,nightVideos,streetCornerAtNight,0.01689328,5,0.645668213,0.190345303
svd,0,60,33,nightVideos,tramStation,0.022833693,5,0.809004142,0.582039261
svd,0,60,34,nightVideos,winterStreet,0.022628979,5,0.430836921,0.736681976
svd,0,60,35,turbulence,turbulence0,0.022791338,5,0.686136688,0.511452098
svd,0,60,36,turbulence,turbulence1,0.022671568,5,0.712901849,0.459994261
svd,0,60,37,turbulence,turbulence2,0.01876483,5,0,0.231073312
svd,0,60,38,turbulence,turbulence3,0.02328278,5,0.424843649,1.141110549
svd,0,60,47,cameraJitter,badminton,0.024846363,5,0.696918144,0.281803408
svd,0,60,48,cameraJitter,boulevard,0.024788415,5,0.837291958,0.338332434
svd,0,60,49,cameraJitter,sidewalk,0.023201323,5,0.781071984,0.206391466
svd,0,60,50,cameraJitter,traffic,0.024001688,5,0.81761458,0.225468362
